epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,1.2983186879134558,0.07098385843281482,1.1867301846886504,0.09768711736518887
1,0.9813646220339767,0.18579219620352477,1.1507964609511967,0.11133118874191684
2,0.9468869993607496,0.19559859274936667,1.0652325739120614,0.1570675016384861
3,0.9314213339399734,0.19922062944304428,1.0189343171900715,0.17982281552678286
4,0.9201896491965684,0.20238887433422106,1.0147355653602501,0.18106890055887875
5,0.9136030326470238,0.2034395503491629,1.0149487138822162,0.18118373484061334
6,0.9068092313053276,0.20436914360777805,1.0146640626520946,0.18136315191666905
7,0.8997447202566365,0.20542016253660647,1.0185187176383774,0.1798978734802153
8,0.8930470615735353,0.20675998695177664,1.020052138587524,0.17890812500062847
9,0.8875882873382662,0.20754543976521006,1.0259525632036144,0.17717744569055302
10,0.8819925239605217,0.21014876517776837,1.0278192481090282,0.17941475432829473
11,0.867853005873761,0.21972069856871287,1.0279638569416671,0.18165312162748956
12,0.857724646214043,0.22601364630390264,1.0256771142112797,0.18353967940242127
13,0.8474723321705286,0.23176164643643257,1.0219761473608429,0.18435761192178438
14,0.8391894716471617,0.23644922841280164,1.0271213149716114,0.18431539590708051
15,0.832360463132131,0.24022726024809105,1.0113231384291732,0.19383823527670663
16,0.821844853708225,0.24606381220582363,1.0167177021503448,0.18798588187568666
17,0.8131622778753513,0.25074445605811047,1.0086777783159553,0.19302071204734164
18,0.8063871334839571,0.2546376558040892,1.0147515110157688,0.19178463359007136
19,0.8029171960820132,0.2557681470206366,1.0097835731917415,0.19105186118257075
20,0.7962738594812367,0.2590327182548982,0.9990043169979391,0.19121812563530668
21,0.795646225870902,0.259220328810359,0.9940492148543226,0.19528846503064792
22,0.7870281552769894,0.26363097631032717,0.9977671852142647,0.19247083980346738
23,0.7828774689381706,0.26494528906920456,0.9809488871231161,0.20413367691698708
24,0.7799741318231725,0.26626698818442746,0.9894416386197353,0.19678314407588787
25,0.7772413344840722,0.2671370908516772,0.9843163563516634,0.19879258556607213
26,0.7775495135916115,0.2670935951776145,0.9669002935547253,0.20950011453043835
27,0.7737494107395374,0.26862700100558073,0.9697508946831884,0.20736694846678363
28,0.7693257622173352,0.270567010551305,0.9572440247083532,0.21754028342459228
29,0.7681632057327186,0.27125313866432177,0.9628416053180037,0.21508518216777983
